PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,REGION,SUB_REGION,LAT_DEGREES,LON_DEGREES,AVG_DEPTH,percentCover_HardCoral,percentCvr_HydroCoral,percentCvr_CCA,percentCvr_Substrate,percentCvr_Sponges,percentCvr_MacroAlgae,percentCvr_SoftCorals,percentCvr_Seagrasses,percentCvr_TurfAlgae,parrotfish_Density,parrotfish_Biomass_kg_transect,parrotfish_Biomass_kg_ha,HardCoral_G,HydroCoral_G,CCA_G,Macrobioerosion_G,Microbioerosion_G,Diadema_G,Parrotfish_G,GrossProduction_G,GrossErosion_G,NetProduction_G,ReefAccretionPotential
1065,2018,10,11,FLK,Upper Keys,25.04154,-80.42761,3.962399873,22,2,3,14,9,27,7,0,16,1150.568182,0.859804267,48.57651225,1.273377011,0.021564111,0.007221881,-0.001820516,-0.204619955,0,-0.1079744,1.302163002,-0.31441487,0.987748132,0.911921832
1067,2018,11,14,FLK,Upper Keys,25.23881,-80.23891,2.743199912,4,0,0,19,2,26,6,14,29,511.3636364,0.069802562,3.943647572,0.324981012,0,0,0,-0.161656492,0,-0.000562437,0.324981012,-0.162218929,0.162762083,0.150267353
1068,2018,8,6,FLK,Upper Keys,25.061133,-80.397017,2.895599907,11,0,0,41,0,21,5,0,22,497.1590909,0.33057291,18.67643562,0.718438317,0,0,0,-0.187585681,0,-0.127153471,0.718438317,-0.314739152,0.403699165,0.372708457
1080,2018,11,27,FLK,Biscayne,25.66133,-80.10251,7.924799746,0,1,1,49,5,2,4,0,26,625,0.277182663,15.66003746,0,0.010815663,0.002414797,0,-0.100802924,0,-0.003869892,0.013230461,-0.104672816,-0.091442356,-0.084422616
1082,2018,9,26,FLK,Biscayne,25.34985,-80.1637215,8.686799722,0,1,5,4,6,38,23,0,20,1661.931818,4.628938041,261.5219232,0,0.010792641,0.012048285,0,-0.231327079,0,-1.574742249,0.022840927,-1.806069328,-1.783228401,-1.646335596
1085,2016,12,1,FLK,Biscayne,25.40086,-80.12876,11.88719962,2,0,2,7,8,39,0,0,42,220.1704545,0.705094006,39.83581955,0.136751508,0,0.004859036,-0.000612441,-0.225945196,0,-0.485213436,0.141610544,-0.711771073,-0.570160529,-0.526391108
1085,2018,9,25,FLK,Biscayne,25.3689129,-80.1814807,3.657599883,10,0,4,18,7,32,13,9,7,1207.386364,0.293422577,16.57754674,0.584602144,0,0.009616157,0,-0.175494869,0,-0.031126363,0.594218302,-0.206621232,0.38759707,0.357842469
1086,2018,10,25,FLK,Biscayne,25.4707,-80.136,7.619999756,7,1,0,0,2,17,29,0,44,1008.522727,1.014365652,57.3087939,0.361032993,0.010777706,0,-0.001213188,-0.240632249,0,-0.103647777,0.371810699,-0.345493214,0.026317485,0.024297175
1089,2018,9,25,FLK,Biscayne,25.3544764,-80.13835655,2.895599907,4,0,3,1,4,46,10,0,18,1093.75,0.157296201,8.886791002,0.167866226,0,0.0072,-0.00121,-0.2256,-0.006063837,-0.00120206,0.175066226,-0.234075897,-0.059009671,-0.054479685
1091,2018,9,25,FLK,Biscayne,25.3743363,-80.1824381,4.419599859,7,0,6,9,4,24,30,0,20,596.5909091,0.254578755,14.38298051,0.359672697,0,0.014469187,-0.000607907,-0.21944934,0,-0.02418688,0.374141884,-0.244244127,0.129897758,0.119925918
1093,2016,12,1,FLK,Biscayne,25.45783,-80.11259,17.37359944,2,1,9,9,13,9,17,0,38,1008.522727,1.138552879,64.32502142,0.105332,0.010749388,0.0216,-0.000605,-0.2184,0,-0.257951834,0.137681388,-0.476956834,-0.339275446,-0.313230343
1095,2018,9,27,FLK,Biscayne,25.4139322,-80.1583087,4.419599859,11,2,0,0,4,47,22,0,9,1321.022727,1.401766875,79.19586866,0.553340558,0.021538347,0,-0.001212227,-0.240441748,0,-0.435345716,0.574878905,-0.676999692,-0.102120786,-0.094281296
1097,2018,9,27,FLK,Biscayne,25.4093774,-80.1513806,6.705599785,13,2,3,5,9,21,37,0,10,1590.909091,1.386538432,78.33550462,0.813417285,0.021876703,0.007326569,-0.001231271,-0.234450198,0,-0.520748343,0.842620556,-0.756429812,0.086190744,0.079574153
1100,2018,9,25,FLK,Biscayne,25.3741619,-80.1516268,7.162799771,2,1,1,26,15,7,4,0,42,355.1136364,0.33536513,18.9471825,0.02043478,0.010778844,0.002406577,-0.001819974,-0.182899816,0,-0.030303859,0.0336202,-0.215023649,-0.181403449,-0.16747768
1101,2016,12,2,FLK,Biscayne,25.37697,-80.13488,21.9455993,8,1,9,0,4,49,4,0,21,852.2727273,0.55546346,31.3821164,0.513717166,0.010749388,0.0216,-0.000605,-0.2184,0,-0.00833491,0.546066554,-0.22733991,0.318726644,0.294259008
1101,2018,9,27,FLK,Biscayne,25.422951,-80.1572517,3.047999902,12,1,0,3,20,22,17,2,19,1424.005682,1.645788691,92.98241192,0.706860094,0.010801028,0,-0.003647439,-0.226683787,0,-0.234874925,0.717661122,-0.46520615,0.252454971,0.233074801
1106,2018,8,24,FLK,Lower Keys,24.45258,-81.93717,9.601199693,14,1,0,0,14,12,1,0,50,809.6590909,0.085198696,4.813485635,0.879697088,0.010774025,0,0,-0.24055006,0,-0.001130272,0.890471113,-0.241680332,0.648790781,0.598985165
1113,2018,8,14,FLK,Upper Keys,24.86896,-80.60283,4.724399849,0,2,0,38,1,16,0,0,43,208.2386364,0.020478832,1.15699618,0,0.021523834,0,0,-0.1488,0,0,0.021523834,-0.1488,-0.127276166,-0.117505577
1118,2014,7,13,FLK,Upper Keys,25.06823333,-80.39251667,2.349499925,13,2,1.5,70,3,4,4,0,7.5,2173.295455,1.272855678,71.91275019,1.211088073,0.021653703,0.003625943,0,-0.109986928,0,-0.067009925,1.236367718,-0.176996853,1.059370865,0.978046314
1119,2014,6,25,FLK,Upper Keys,25.12785,-80.33425,4.876799844,11,0,2.5,62.5,5,8,1,0,12,2669.204545,0.690727313,39.02414199,0.628273989,0,0.006,0,-0.1056,-0.003031919,-0.129316959,0.634273989,-0.237948878,0.396325111,0.365900486
1121,2014,6,25,FLK,Upper Keys,25.12965,-80.32056667,3.867149876,23,0,2.5,45,2,11.5,6,0,19,2598.039773,3.490122503,197.1820623,1.451751862,0,0.006101854,0,-0.191598213,0,-0.326511006,1.457853716,-0.518109219,0.939744497,0.867603284
1123,2016,12,2,FLK,Biscayne,25.37554,-80.13761,9.296399703,3,2,8,4,4,54,1,0,23,1756.193182,1.351763888,76.37084115,0.132233887,0.022193593,0.019820523,0,-0.237846279,0,-0.370993236,0.174248003,-0.608839515,-0.434591512,-0.401229296
1123,2018,8,6,FLK,Upper Keys,25.040083,-80.38015,2.895599907,1,1,0,13,4,12,2,35,31,454.5454545,0.045468429,2.568837778,0.052786017,0.010773884,0,0,-0.144328151,0,0,0.063559901,-0.144328151,-0.080768251,-0.074567928
1124,2014,9,14,FLK,Upper Keys,25.21423333,-80.27071667,3.576917532,30,1.5,2,26.5,7,5.5,16.5,0,20,2265.625,1.475776523,83.37720471,2.1564649,0.016362426,0.004870953,0,-0.188749432,0,-0.328440347,2.177698279,-0.51718978,1.6605085,1.533036514
1126,2014,9,15,FLK,Upper Keys,25.23673333,-80.26733333,1.910442796,18,0,1,33,3.5,4,8,0,34,4421.25,2.148991676,121.4119591,1.339173849,0,0.002420009,0,-0.182710692,0,-1.250427045,1.341593858,-1.433137737,-0.091543879,-0.084516345
1127,2014,9,15,FLK,Upper Keys,25.23715,-80.25861667,3.86503321,26.5,0,6,21,9,12,12,0,22,2223.039773,1.80189188,101.8018011,1.787527207,0,0.0144,0,-0.198,0,-0.356001031,1.801927207,-0.554001031,1.247926176,1.15212683
1127,2018,8,10,FLK,Upper Keys,25.2121,-80.220717,4.114799868,3,1,1,16,4,27,6,0,41,1988.636364,1.374621954,77.6622573,0.133755167,0.010841345,0.002420531,0,-0.22752992,0,-0.786719596,0.147017043,-1.014249516,-0.867232473,-0.800657779
1128,2014,9,15,FLK,Upper Keys,25.27486667,-80.2264,3.047999902,17.5,1,3.5,7.5,9,8,10,0,50,1484.375,1.395128295,78.82080765,1.409191991,0.010947763,0.008555018,0,-0.238318359,0,-0.838749201,1.428694772,-1.07706756,0.351627213,0.324633904
1129,2014,9,15,FLK,Upper Keys,25.2788,-80.235,2.497015305,43,0,3,4,2.5,18,8,0,27,1740.056818,0.37451698,21.15915143,4.445529928,0,0.007682435,0,-0.252239939,0,-0.054618522,4.453212362,-0.306858461,4.146353902,3.828051426
1130,2018,10,25,FLK,Biscayne,25.5374,-80.1137,7.010399776,12,4,0,14,11,3,12,0,44,1548.295455,1.334989368,75.42312816,0.39456162,0.043117804,0,0,-0.154029575,0,-0.639521655,0.437679424,-0.79355123,-0.355871806,-0.328552653
1131,2014,9,7,FLK,Upper Keys,24.98846667,-80.44008333,6.462712293,8,1,2.5,29.5,4.5,33,0,1,24.5,3046.875,0.439701517,24.84189363,1.738965364,0.010770758,0.006011928,0,-0.185167388,0,-0.004878371,1.75574805,-0.190045759,1.565702291,1.445508278
1133,2014,7,24,FLK,Upper Keys,25.04431667,-80.36668333,4.584699853,15.5,1.5,6.5,7.5,3,31,14,0,22.5,2688.210227,3.111900894,175.8136098,1.390312381,0.016746392,0.016202083,0,-0.244277556,0,-0.855362588,1.423260855,-1.099640144,0.323620711,0.298777372
1134,2014,7,13,FLK,Upper Keys,25.05535,-80.36401667,3.071446055,1,3,2,11,3,4.5,5,31,39.5,589.4886364,0.077489173,4.377919356,0.058088317,0.032320735,0.004810802,0,-0.150337559,-0.001515959,-0.000492132,0.095219854,-0.15234565,-0.057125796,-0.052740429
1135,2014,7,13,FLK,Upper Keys,25.06058333,-80.35911667,2.987039904,9,1,3.5,18.5,6.5,18.5,12,10,24,1711.647727,1.652120134,93.34012055,0.494118768,0.01079482,0.008435502,0,-0.185581048,0,-0.973588417,0.51334909,-1.159169465,-0.645820375,-0.596242787
1136,2014,6,27,FLK,Upper Keys,25.06988333,-80.33738333,3.809999878,1,1.5,1,45.5,1,42,1,2.5,7.5,269.8863636,0.026536936,1.499261916,0.007145474,0.016186863,0.002409345,0,-0.190338226,0,0,0.025741681,-0.190338226,-0.164596545,-0.151960989
1137,2014,6,29,FLK,Upper Keys,25.1479,-80.27471667,8.229599737,4,1,2,24.5,5,22.5,0,0,45,1001.420455,3.610766698,203.9981185,0.184726331,0.010773346,0.004810698,0,-0.184009203,0,-0.509518743,0.200310375,-0.693527946,-0.493217571,-0.455354818
1138,2014,7,1,FLK,Upper Keys,25.17676667,-80.24105,9.601199693,3,1,5.5,24.5,8.5,41.5,7,0,9.5,2031.25,0.849517748,47.99535301,0.141359944,0.010820651,0.013287509,0,-0.208976285,0,-0.046301254,0.165468104,-0.255277539,-0.089809434,-0.082915048
1138,2018,12,5,FLK,Upper Keys,25.12604,-80.29301,10.97279965,3,0,0,37,4,34,5,0,17,866.4772727,0.670609034,37.88751607,0.181751204,0,0,-0.000606509,-0.15398321,0,-0.311626525,0.181751204,-0.466216244,-0.284465041,-0.262627559
1139,2014,7,17,FLK,Upper Keys,25.2229,-80.23018333,1.75661047,13,1.5,2,9,7.5,18.5,6,30,23,1423.295455,0.354329972,20.01864246,1.215304956,0.016139884,0.004804704,0,-0.192188161,-0.001515959,-0.004706278,1.236249544,-0.198410398,1.037839145,0.958167516
1140,2014,9,20,FLK,Upper Keys,25.25446667,-80.20515,9.184639706,4,1,5.5,32.5,7,25,6,0,23,1448.863636,1.407148644,79.4999234,0.211955412,0.010867145,0.013344602,0,-0.208661057,0,-0.920292687,0.236167159,-1.128953743,-0.892786584,-0.824250181
1140,2016,10,21,FLK,Biscayne,25.65975,-80.0879,22.09799929,2,1,0,30,17,10,0,0,36,1280.028409,1.123819521,63.4926283,0.078986385,0.010755363,0,-0.000605336,-0.187304048,0,-0.346704755,0.089741748,-0.534614139,-0.444872392,-0.410720945
1142,2014,9,19,FLK,Upper Keys,25.2932,-80.22098333,5.153024835,7,0,9.5,19.5,7.5,16,7,0,34.5,1413.352273,2.128691023,120.2650295,0.324031266,0,0.022910787,0,-0.217049561,0,-0.258052862,0.346942053,-0.475102423,-0.12816037,-0.118321904
1144,2014,6,26,FLK,Upper Keys,25.10521667,-80.3074,4.448174858,3,1.5,7,5.5,4.5,38.5,7.5,0,22,2596.420455,4.537326643,256.346138,0.144855412,0.0167462,0.017448197,0,-0.246767358,-0.003031919,-3.096071047,0.179049809,-3.345870323,-3.166820514,-2.923713718
1146,2014,6,30,FLK,Upper Keys,25.15563333,-80.28663333,5.333999829,10,3.5,4,16,3.5,26,9.5,0,23.5,3458.806818,4.0267814,227.501774,0.552938414,0.038591605,0.009847189,0,-0.225254459,0,-0.895470001,0.601377209,-1.12072446,-0.519347252,-0.479478606
1147,2014,6,30,FLK,Upper Keys,25.15986667,-80.28541667,4.335378809,6.5,1,7,22.5,4.5,29,4.5,0,21,2733.494318,2.657619212,150.1479781,0.324660436,0.010876807,0.01699914,0,-0.237987965,-0.001515959,-1.052217703,0.352536383,-1.291721628,-0.939185245,-0.867086964
1149,2014,9,5,FLK,Upper Keys,24.98601667,-80.41505,4.853353691,6,2.5,17,8.5,1.5,5.5,0,0,50.5,937.5,0.09658339,5.456688685,0.193096365,0.027608466,0.041915891,0,-0.241632782,0,-0.000180299,0.262620722,-0.241813081,0.020807641,0.019210304
1150,2014,9,7,FLK,Upper Keys,24.99485,-80.44626667,4.724399849,11,1,5.5,16.5,3,41.5,3,0,17.5,22230.11364,3.824472526,216.0718941,1.079952188,0.010762627,0.013216257,0,-0.216266027,0,-0.280267408,1.103931072,-0.496533436,0.607397636,0.56076964
1152,2014,7,22,FLK,Upper Keys,25.20885,-80.2431,2.005263094,21.5,1,7.5,3,2.5,30,12,0,14.5,1642.215909,1.119082773,63.2250154,1.592118154,0.011089824,0.018570065,0,-0.240172845,0,-0.408030788,1.621778043,-0.648203633,0.97357441,0.898836182
1154,2018,10,24,FLK,Middle Keys,24.68293,-80.97189,3.962399873,1,0,2,11,9,53,1,0,23,497.1590909,0.80103206,45.25604858,0.058259159,0,0.004824951,0,-0.214710309,0,-0.007715439,0.063084109,-0.222425748,-0.159341639,-0.147109485
1155,2014,9,22,FLK,Upper Keys,25.27626667,-80.21018333,4.114799868,1,0,2,22,2,17,0,2,63.5,710.2272727,0.19688394,11.12338642,0.05886984,0,0.004875527,0,-0.19136442,-0.003031919,-0.003973072,0.063745367,-0.198369411,-0.134624044,-0.124289382
1155,2018,8,8,FLK,Upper Keys,24.901233,-80.568933,6.55319979,0,0,0,69,0,16,0,6,9,610.7954545,0.135201402,7.638497311,0,0,0,0,-0.1008,0,-0.012377662,0,-0.113177662,-0.113177662,-0.104489371
1157,2014,7,14,FLK,Upper Keys,25.03936667,-80.34421667,7.249159768,1,1,8,11.5,5.5,51.5,4.5,0,12.5,1335.227273,0.751955373,42.48335442,0.048837755,0.010986416,0.019623366,0,-0.242839158,-0.001515959,-0.375461401,0.079447537,-0.619816518,-0.540368981,-0.498886563
1158,2018,8,9,FLK,Upper Keys,25.2301,-80.22808,2.895599907,2,0,0,16,6,44,0,0,32,1306.818182,0.375256934,21.2009567,0.113887865,0,0,0,-0.216254397,0,-0.113144053,0.113887865,-0.329398451,-0.215510586,-0.19896652
1159,2014,7,1,FLK,Upper Keys,25.13328333,-80.26426667,8.549639727,1,1,3.5,14,1,25,2,0,54.5,944.6022727,1.776565933,100.3709567,0.014758306,0.011062848,0.00864495,0,-0.238353633,0,-0.905286123,0.034466105,-1.143639756,-1.109173651,-1.024025898
1161,2014,9,20,FLK,Upper Keys,25.24091667,-80.20061667,7.162799771,9,2,13.5,7,3.5,33.5,1.5,0,33,2059.602273,2.751533932,155.4538944,0.303698008,0.021646995,0.032623376,0,-0.234404998,0,-0.932474838,0.35796838,-1.166879836,-0.808911456,-0.746813882
1162,2018,10,11,FLK,Upper Keys,24.98817,-80.41769,2.895599907,0,0,9,22,0,27,0,0,42,454.5454545,0.044447932,2.511182612,0,0,0.02165044,0,-0.223721213,0,0,0.02165044,-0.223721213,-0.202070773,-0.186558439
1164,2014,6,27,FLK,Upper Keys,25.07745,-80.3239,6.490854338,0,0,0,43.5,3.5,36,2,4,11.5,1008.522727,0.221251971,12.50011133,0,0,0,0,-0.176824782,0,-0.000967758,0,-0.17779254,-0.17779254,-0.164143969
1164,2016,12,7,FLK,Upper Keys,25.21282,-80.21911,3.809999878,0,2,4,0,2,50,5,0,25,1292.613636,1.717347945,97.02530761,0,0.022009153,0.009827902,0,-0.245697559,0,-0.755807328,0.031837056,-1.001504887,-0.969667831,-0.895229498
1165,2014,6,27,FLK,Upper Keys,25.09331667,-80.31968333,6.857999781,0,0,1,52,2,39.5,0,0,6,724.4318182,3.048205394,172.214994,0,0,0.002403622,0,-0.151428178,0,-0.486267576,0.002403622,-0.637695754,-0.635292132,-0.586522764
1166,2014,7,23,FLK,Upper Keys,25.15958333,-80.24428333,15.38287451,5,2,6,32,6.5,33.5,2,0,13,1576.647727,3.454020858,195.1424214,0.210484197,0.021498776,0.0144,0,-0.1884,0,-1.843294212,0.246382973,-2.031694212,-1.78531124,-1.648258542
1167,2014,7,23,FLK,Upper Keys,25.17176667,-80.242,13.5551329,7,2,9,14.5,13.5,37,6,0,11,738.6363636,0.494682888,27.94818577,0.431790684,0.021498776,0.0216,0,-0.2124,-0.001515959,-0.004341525,0.47488946,-0.218257485,0.256631975,0.23693115
1168,2014,6,27,FLK,Upper Keys,25.08708333,-80.31131667,9.601199693,0,0,2.5,49.5,5.5,18.5,1,0,23.5,511.3636364,0.171343775,9.680439293,0,0,0.00600823,0,-0.152609052,0,-0.001986054,0.00600823,-0.154595106,-0.148586875,-0.137180331
1168,2018,10,24,FLK,Biscayne,25.5887,-80.0973,3.047999902,2,1,0,0,1,6,3,0,87,951.7045455,1.256873199,71.00978524,0.047447076,0.010781545,0,-0.00060681,-0.177604814,0,-0.882210755,0.058228621,-1.060422379,-1.002193758,-0.925258513
1170,2014,6,30,FLK,Upper Keys,25.15471667,-80.26898333,5.63879982,0,0,1,27,0,49,0,0,24,866.4772727,0.391463341,22.11657295,0,0,0.002403819,0,-0.231968512,-0.001515959,-0.003444721,0.002403819,-0.236929193,-0.234525374,-0.216521603
1171,2014,9,5,FLK,Upper Keys,24.99838333,-80.40056667,7.772399751,1,1,5,30,3.5,28,1.5,0,29.5,3080.994318,3.232180986,182.6090952,0.01466187,0.010990559,0.01226923,0,-0.201215367,0,-1.280806028,0.037921658,-1.482021395,-1.444099736,-1.333240766
1171,2016,11,9,FLK,Upper Keys,25.16055,-80.28582,3.657599883,1,1,3,2,7,4,1,1,80,1754.261364,1.672104738,94.46919423,0.024216248,0.010781124,0.007221257,0,-0.233487313,0,-0.677061251,0.042218629,-0.910548564,-0.868329935,-0.801670992
1172,2014,6,25,FLK,Upper Keys,25.11553333,-80.28231667,10.66799966,3.5,1,2,28.5,3.5,28,0,0,32,951.7045455,0.881910287,49.82543994,0.217884053,0.01131134,0.005050932,0,-0.237393817,-0.001515959,-0.074847928,0.234246325,-0.313757704,-0.079511379,-0.073407542
1172,2018,9,10,FLK,Lower Keys,24.47273,-81.81496,7.772399751,9,0,0,23,11,3,9,0,39,511.3636364,0.164074487,9.269745017,0.54731005,0,0,-0.001823355,-0.180828561,-0.009095756,-0.001843713,0.54731005,-0.193591385,0.353718664,0.326564801
1174,2014,9,22,FLK,Upper Keys,25.27713333,-80.17595,12.3443996,1,0,2,11,4,18.5,4,0,60.5,1115.056818,6.436863943,363.6646295,0.058039726,0,0.004806778,0,-0.240338881,0,-0.434210195,0.062846503,-0.674549076,-0.611702572,-0.5647441
1176,2014,9,13,FLK,Upper Keys,24.9877,-80.41231667,11.06328715,4,1.5,5,6.5,2,15.5,4,0,59.5,2175.681818,1.915480909,108.2192604,0.170241775,0.016275712,0.012112847,0,-0.241045657,-0.001515959,-0.537503698,0.198630333,-0.780065314,-0.581434981,-0.536800056
1184,2014,7,15,FLK,Upper Keys,25.20366667,-80.22653333,5.714999817,2,2,11.5,18,2.5,39,2,0,20,1548.352273,2.417324292,136.5719939,0.06294437,0.021782592,0.027964361,0,-0.238304991,0,-1.466237128,0.112691323,-1.704542119,-1.591850796,-1.469649445
1184,2016,12,7,FLK,Upper Keys,25.22417,-80.20896,3.809999878,2,3,11,0,1,17,8,0,49,1534.147727,4.339221831,245.1537758,0.146463299,0.034963154,0.02862263,0,-0.260205727,0,-1.854788765,0.210049082,-2.114994492,-1.90494541,-1.758708775
1185,2014,7,15,FLK,Upper Keys,25.2045,-80.22876667,5.115559837,5,2,8,25.5,7.5,29.5,5,0,18,1448.863636,2.198656003,124.2178532,0.273871252,0.021878004,0.019538678,0,-0.221031299,-0.001515959,-0.846927611,0.315287934,-1.06947487,-0.754186936,-0.69629039
1186,2014,7,15,FLK,Upper Keys,25.20698333,-80.2209,4.524374855,5.5,2.5,8.5,2,1,26,3,0,47,3385.056818,6.616300013,373.8022606,0.316311469,0.027978381,0.021238752,0,-0.248618336,0,-3.90577642,0.365528603,-4.154394757,-3.788866154,-3.498006882
1189,2014,7,16,FLK,Upper Keys,25.2201,-80.21101667,4.353559861,3,1,13.5,2,1,27.5,1.5,0,44,1867.897727,5.04161021,284.836735,0.163040857,0.012532548,0.037774667,0,-0.278413288,0,-2.188023413,0.213348073,-2.466436701,-2.253088628,-2.08012614
1190,2014,7,16,FLK,Upper Keys,25.22373333,-80.2093,4.443046012,9,1,7,3,0,24,3,0,42.5,2185.482955,12.57670212,710.5481424,0.589018366,0.011484374,0.017948695,0,-0.255127882,0,-2.404234067,0.618451435,-2.659361948,-2.040910513,-1.884236267
1193,2014,7,17,FLK,Upper Keys,25.22271667,-80.2195,6.857999781,5.5,0,15,19,5,29,5,0,25,1406.25,0.644881527,36.43398457,0.2569529,0,0.037146168,0,-0.230306243,-0.001515959,-0.242239393,0.294099068,-0.474061595,-0.179962527,-0.166147373
1194,2014,7,15,FLK,Upper Keys,25.20215,-80.22315,11.72754248,9,2,11,25.5,2.5,27.5,18.5,0,6.5,1767.357955,9.634211261,544.3057209,0.383475214,0.021498776,0.0264,0,-0.2184,0,-0.814012784,0.43137399,-1.032412784,-0.601038794,-0.554898947
1197,2014,6,29,FLK,Upper Keys,25.14628333,-80.2574,7.467599761,0,0,1,38,0,2.5,0,0,59,795.4545455,0.086649906,4.895474929,0,0,0.002404967,0,-0.173157619,0,-0.000281218,0.002404967,-0.173438838,-0.171033871,-0.157904142
1198,2014,6,29,FLK,Upper Keys,25.13998333,-80.25945,7.040879775,1,1.5,17.5,4,3.5,37.5,3,0,32.5,2279.829545,7.198222266,406.6792241,0.014442423,0.016239092,0.042299579,-0.000609315,-0.235669081,0,-2.618480765,0.072981094,-2.854759161,-2.781778068,-2.568229763
1198,2018,8,8,FLK,Upper Keys,24.9577,-80.43355,5.63879982,1,1,0,51,2,13,1,0,29,965.5681818,1.040656835,58.79417147,0.00711776,0.010749388,0,0,-0.2088,0,-0.59803401,0.017867148,-0.80683401,-0.788966862,-0.728400371
1201,2014,6,29,FLK,Upper Keys,25.14823333,-80.25866667,7.162799771,0,0,0,34.5,1,29.5,0,0,36,1430.397727,1.331685821,75.23648709,0,0,0,0,-0.186261682,0,-0.831435046,0,-1.017696728,-1.017696728,-0.939571369
