REGION,SUB_REGION,SUB_REGION_2,HABITAT_TYPE,YEAR,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,AVG_DEPTH,parrotfish_Density,parrotfish_Biomass,hardCoral_PrctCvr,cca_PrctCvr,hydrocoral_PrctCvr,microbioerosion_PrctCvr,macrobioerosion_PrctCvr,hardCoral_G,cca_G,hydrocoral_G,microbioerosion_G,macrobioerosion_G,urchin_G,parrotfish_G,grossP_G,grossE_G,net_G,budget_State,RAP
DRTO,DRTO,DRTO,Bank,2016,2362,24.70549,-83.01248,29.10839907,838.0681818,12.33820165,3,0,0,86,,0.176722951,0,0,0.2376,0.000612466,0,0.00718204,0.176722951,0.245394506,-0.068671555,Stasis,-0.063399857
DRTO,DRTO,DRTO,Bank,2016,2270,24.64895711,-83.102595,23.77439924,1075.170455,22.77044055,3,7,0,66,,0.218663191,0.016901184,0,0.226958755,0,0,0.077954594,0.235564375,0.304913349,-0.069348974,Stasis,-0.064025273
DRTO,DRTO,DRTO,Bank,2016,2325,24.66665014,-83.06764757,18.28799942,312.5,4.976625094,0,8,1,75,,0,0.019256757,0.010781164,0.168496619,0.001820365,0,0.00060168,0.03003792,0.170918665,-0.140880745,Stasis,-0.130065776
DRTO,DRTO,DRTO,Bank,2016,2328,24.6984,-82.99718,22.85999927,426.1363636,10.1942798,0,0,0,94,,0,0,0,0.144392079,0,0,0.004324595,0,0.148716674,-0.148716674,Stasis,-0.137300165
DRTO,DRTO,DRTO,Bank,2016,2691,24.69374,-83.01121,22.25039929,880.6818182,31.03155041,3,0,0,88,,0.204158184,0,0,0.1512,0,0,0.233860684,0.204158184,0.385060684,-0.180902499,Stasis,-0.167015186
DRTO,DRTO,DRTO,Bank,2016,2333,24.66155,-83.0244,18.13559942,801.875,27.01525224,4,1,1,87,,0.271665244,0.00240231,0.010759735,0.240231026,0,0,0.234386731,0.28482729,0.474617757,-0.189790467,Stasis,-0.175220853
DRTO,DRTO,DRTO,Bank,2016,2358,24.6933,-82.98184,28.49879909,397.7272727,19.26988487,1,0,0,96,,0.064669765,0,0,0.0936,0,0,0.168862238,0.064669765,0.262462238,-0.197792472,Stasis,-0.182608569
DRTO,DRTO,DRTO,Bank,2016,2334,24.65450342,-83.03464081,16.45919947,1797.357955,87.7866269,14,3,1,46,,0.898750427,0.007638722,0.011404387,0.236800373,0.000641865,0,0.929316605,0.917793535,1.166758843,-0.248965308,Stasis,-0.229853029
DRTO,DRTO,DRTO,Bank,2016,2329,24.71494,-82.98818,16.61159947,880.6818182,31.20439157,2,2,1,87,,0.137095174,0.004871248,0.010908944,0.233819884,0,0,0.333315871,0.152875366,0.567135755,-0.41426039,Stasis,-0.38245893
DRTO,DRTO,DRTO,Bank,2016,2375,24.69744,-82.99547,23.62199925,823.8636364,46.86645216,8,2,1,78,,0.262770781,0.004820958,0.010796324,0.2088,0,0,0.669394369,0.278388063,0.878194369,-0.599806306,Erosion,-0.553761073
DRTO,DRTO,DRTO,Bank,2016,2373,24.6789,-82.99505,24.07919923,1252.982955,56.93400675,3,4,1,66,,0.157286119,0.009617514,0.010768999,0.2136,0,0,0.690616364,0.177672632,0.904216364,-0.726543732,Erosion,-0.670769267
DRTO,DRTO,DRTO,Bank,2016,2288,24.65600688,-83.08527463,15.23999951,724.4318182,143.5628557,0,6,4,66,,0,0.014410457,0.043028775,0.230567307,0.000605439,0,0.633771918,0.057439232,0.864944665,-0.807505433,Erosion,-0.745515795
DRTO,DRTO,DRTO,Bank,2016,2309,24.6767857,-83.08162767,20.11679936,1228.721591,71.38254362,4,19,0,53,,0.211349254,0.04619711,0,0.213965563,0,0,1.00209932,0.257546364,1.216064883,-0.958518519,Erosion,-0.884936084
DRTO,DRTO,DRTO,Bank,2016,2268,24.62397795,-83.09949344,23.46959925,589.4886364,88.89295756,0,6,0,77,,0,0.014423255,0,0.182694562,0.000605977,0,1.275581423,0.014423255,1.458881963,-1.444458708,Erosion,-1.333572181
DRTO,DRTO,DRTO,Forereef,2016,2597,24.7132,-82.844,8.381999732,1122.159091,14.18388452,3,0,0,81,,2.183815001,0,0,0.189848395,0,0,0.074048448,2.183815001,0.263896843,1.919918158,Growth,1.772532113
DRTO,DRTO,DRTO,Forereef,2016,2250,24.60877,-82.93293,10.97279965,1086.647727,28.80703883,24,0,2,61,,1.896329469,0,0.024563698,0.274215034,0,0.018191512,0.231124342,1.920893167,0.523530888,1.397362279,Growth,1.290091196
DRTO,DRTO,DRTO,Forereef,2016,2149,24.63844,-82.79448,5.791199815,2002.840909,58.8544683,3,1,1,80,,2.20355837,0.002424871,0.010860781,0.23521244,0,0.036383023,0.566912123,2.216844021,0.838507586,1.378336435,Growth,1.272525906
DRTO,DRTO,DRTO,Forereef,2016,2078,24.65183,-82.95745,22.0979993,1219.6875,31.90006591,24,0,0,54,,1.760425787,0,0,0.281731235,0,0,0.247905069,1.760425787,0.529636304,1.230789483,Growth,1.136305667
DRTO,DRTO,DRTO,Forereef,2016,2166,24.58933,-82.8846,14.78279953,1143.465909,19.64454411,27,6,0,55,,1.446534912,0.014531268,0,0.210703387,0,0,0.072796784,1.461066181,0.283500171,1.177566009,Growth,1.087167991
DRTO,DRTO,DRTO,Forereef,2016,2072,24.72435,-82.8107,16.30679948,589.4886364,23.38007966,25,2,0,65,,1.502346593,0.0048,0,0.18,0,0,0.166696494,1.507146593,0.346696494,1.160450099,Growth,1.071366015
DRTO,DRTO,DRTO,Forereef,2016,2099,24.72701,-82.81797,24.38399922,610.7954545,16.46761913,16.09195402,0,0,73.56321839,,1.170058657,0,0,0.220689655,0,0.003031919,0.021919666,1.170058657,0.24564124,0.924417417,Growth,0.853452815
DRTO,DRTO,DRTO,Forereef,2016,2073,24.60679,-82.8719,18.44039941,525.5681818,9.401803066,16,0,0,61,,1.139309922,0,0,0.233745217,0,0,0.003024821,1.139309922,0.236770038,0.902539884,Growth,0.833254751
DRTO,DRTO,DRTO,Forereef,2016,2253,24.63216,-82.94773,19.04999939,1150.568182,20.92198651,17,0,0,69,,1.048031507,0,0,0.165615336,0,0.003031919,0.005807667,1.048031507,0.174454922,0.873576585,Growth,0.806514873
DRTO,DRTO,DRTO,Forereef,2016,2222,24.69668786,-82.92490502,17.06879945,269.8863636,30.85550691,14,6,0,59,,1.45207168,0.014405106,0,0.192068083,0,0,0.423094018,1.466476786,0.615162101,0.851314685,Growth,0.785961949
DRTO,DRTO,DRTO,Forereef,2016,2229,24.57847,-82.97454,17.06879945,1214.488636,45.606186,15,2,1,63,,0.990602136,0.005166158,0.011569382,0.242809417,0,0,0.166856103,1.007337676,0.40966552,0.597672156,Growth,0.551790755
DRTO,DRTO,DRTO,Forereef,2016,2255,24.66092882,-82.93717822,20.72639934,696.0227273,27.20111846,17,1,3,33,,0.78098915,0.002403631,0.032296954,0.24036311,0.003635492,0.006063837,0.175248017,0.815689736,0.425310456,0.39037928,Stasis,0.360411097
DRTO,DRTO,DRTO,Forereef,2016,2551,24.58288,-82.88835,12.6491996,1760.596591,24.04938723,8,0,0,70,,0.701291203,0,0,0.243074349,0,0,0.082271803,0.701291203,0.325346152,0.375945052,Stasis,0.347084939
DRTO,DRTO,DRTO,Forereef,2016,2581,24.61007,-82.87096,12.4967996,1747.159091,53.51300828,16,0,0,66,,0.790012628,0,0,0.235182448,0,0,0.202327605,0.790012628,0.437510053,0.352502575,Stasis,0.325442067
DRTO,DRTO,DRTO,Forereef,2016,2211,24.56519,-82.94097,16.91639946,1406.25,37.048204,6,0,0,83,,0.61884612,0,0,0.206131498,0,0,0.0798863,0.61884612,0.286017798,0.332828323,Stasis,0.307278145
DRTO,DRTO,DRTO,Forereef,2016,2097,24.72367,-82.78785,16.30679948,1136.363636,67.01300804,12,0,1,69,,0.737805717,0,0.010821235,0.147378511,0,0,0.323581778,0.748626952,0.470960289,0.277666663,Stasis,0.256351071
DRTO,DRTO,DRTO,Forereef,2016,2088,24.58912,-82.94318,13.71599956,1302.698864,53.04841826,13,1,0,72,,0.877342744,0.002406828,0,0.235869128,0,0.003031919,0.433248539,0.879749572,0.672149585,0.207599987,Stasis,0.191663193
DRTO,DRTO,DRTO,Forereef,2016,2261,24.62957,-82.96538,19.04999939,1335.170455,71.26104259,21,0,0,57,,1.391483175,0,0,0.247169364,0,0.006063837,0.943923724,1.391483175,1.197156925,0.19432625,Stasis,0.179408438
DRTO,DRTO,DRTO,Forereef,2016,2134,24.62085,-82.86258,9.143999709,1435.994318,41.42011386,6,2,2,78,,0.471417749,0.004835031,0.021655676,0.219993907,0,0,0.159149965,0.497908456,0.379143872,0.118764584,Stasis,0.109647402
DRTO,DRTO,DRTO,Forereef,2016,2098,24.72343,-82.83911,24.38399922,170.4545455,1.455158831,5,1,0,82,,0.321425571,0.0024,0,0.2208,0,0,0.000281218,0.323825571,0.221081218,0.102744352,Stasis,0.094856993
DRTO,DRTO,DRTO,Forereef,2016,2548,24.71864,-82.88831,20.42159935,553.9772727,11.07448055,5,1,1,82,,0.303658371,0.0024,0.010749388,0.2232,0,0,0.007707529,0.316807759,0.230907529,0.08590023,Stasis,0.079305941
DRTO,DRTO,DRTO,Forereef,2016,2141,24.60046,-82.87341,8.077199742,994.3181818,29.79165149,4,0,3,67,,0.34052355,0,0.032659218,0.243059177,0,0,0.071616696,0.373182767,0.314675874,0.058506893,Stasis,0.054015504
DRTO,DRTO,DRTO,Forereef,2016,2112,24.72623,-82.80449,17.06879945,14.20454545,0.067992704,0,0,0,100,,0,0,0,0.014406654,0,0,0,0,0.014406654,-0.014406654,Stasis,-0.013300701
DRTO,DRTO,DRTO,Forereef,2016,2210,24.55088,-82.9284,16.45919947,781.25,15.35951816,3,3,3,77,,0.178168889,0.0072,0.032248164,0.2376,0,0,0.005565693,0.217617053,0.243165693,-0.025548639,Stasis,-0.023587351
DRTO,DRTO,DRTO,Forereef,2016,2576,24.59865,-82.87169,14.32559954,1022.727273,19.38130564,4,0,0,60,,0.248369718,0,0,0.188534537,0,0,0.093818274,0.248369718,0.282352811,-0.033983093,Stasis,-0.031374318
DRTO,DRTO,DRTO,Forereef,2016,2164,24.64292,-82.93114,7.619999757,653.4090909,86.49441274,6,1,1,60,,0.373022904,0.002424573,0.01085945,0.242457343,0,0.009095756,0.182236763,0.386306928,0.433789862,-0.047482934,Stasis,-0.043837819
DRTO,DRTO,DRTO,Forereef,2016,2262,24.64763,-82.95693,20.11679936,1120.568182,8.998533073,0,4,0,91,,0,0.0096,0,0.0528,0,0,0.006087458,0.0096,0.058887458,-0.049287458,Stasis,-0.045503816
DRTO,DRTO,DRTO,Forereef,2016,2556,24.72403,-82.80654,14.32559954,660.5113636,16.40696044,3,0,0,86,,0.267767996,0,0,0.233065303,0,0,0.090796761,0.267767996,0.323862064,-0.056094068,Stasis,-0.051787904
DRTO,DRTO,DRTO,Forereef,2016,2101,24.72773502,-82.77866436,23.62199925,738.6363636,24.42993807,7,8,0,71,,0.46044146,0.0192,0,0.2184,0,0,0.322746495,0.47964146,0.541146495,-0.061505036,Stasis,-0.056783489
DRTO,DRTO,DRTO,Forereef,2016,2160,24.72118,-82.80761,12.4967996,887.7840909,59.22923725,11,2,0,64,,0.59997101,0.004849182,0,0.235185346,0,0.003031919,0.49575511,0.604820192,0.733972375,-0.129152183,Stasis,-0.119237578
DRTO,DRTO,DRTO,Forereef,2016,2636,24.58943,-82.95677,15.6971995,369.3181818,6.627593811,0,6,0,81,,0,0.014403715,0,0.14163653,0.001815468,0,0.002099897,0.014403715,0.145551895,-0.13114818,Stasis,-0.121080349
DRTO,DRTO,DRTO,Forereef,2016,2157,24.71971,-82.81462,11.12519965,1093.75,15.60790556,1,2,0,92,,0.058046065,0.004807303,0,0.185081151,0,0.003031919,0.008460001,0.062853368,0.196573071,-0.133719703,Stasis,-0.123454464
DRTO,DRTO,DRTO,Forereef,2016,2220,24.64482,-82.94013,12.80159959,980.1136364,43.58203094,6,1,0,86,,0.418888644,0.002405405,0,0.218891831,0,0,0.33972667,0.421294049,0.558618501,-0.137324452,Stasis,-0.126782488
DRTO,DRTO,DRTO,Forereef,2016,2549,24.72291,-82.8532,25.29839919,326.7045455,8.491086027,1,0,0,97,,0.070814473,0,0,0.216012762,0,0,0.005812149,0.070814473,0.221824911,-0.151010438,Stasis,-0.139417844
DRTO,DRTO,DRTO,Forereef,2016,2147,24.59145,-82.87435,13.86839956,1505.681818,47.25982214,6,1,1,69,,0.392991876,0.002501617,0.011204521,0.235151994,0,0,0.327564181,0.406698014,0.562716175,-0.156018161,Stasis,-0.14404114
DRTO,DRTO,DRTO,Forereef,2016,2550,24.57066,-82.92463,12.34439961,2898.494318,62.01243592,5,0,2,77,,0.308988358,0,0.021851109,0.243933239,0,0.009095756,0.23785635,0.330839467,0.490885344,-0.160045878,Stasis,-0.147759662
DRTO,DRTO,DRTO,Forereef,2016,2114,24.56779,-82.94888,17.83079943,1315.198864,49.9092501,8,2,0,73,,0.471246565,0.004836947,0,0.234591911,0,0,0.440274696,0.476083512,0.674866607,-0.198783095,Stasis,-0.183523145
DRTO,DRTO,DRTO,Forereef,2016,2093,24.65625339,-82.78432198,13.25879958,1001.420455,34.5885328,4,1,1,58,,0.285082937,0.002408745,0.010788558,0.197517124,0.001821614,0,0.312250379,0.29828024,0.511589116,-0.213308876,Stasis,-0.196933828
DRTO,DRTO,DRTO,Forereef,2016,2552,24.60271,-82.97823,14.78279953,1065.340909,17.63519238,3,9,1,67,,0.137032228,0.022069802,0.010983188,0.2136,0.000618159,0.015159593,0.162836181,0.170085218,0.392213933,-0.222128715,Stasis,-0.205076596
DRTO,DRTO,DRTO,Forereef,2016,2209,24.6875,-82.88503,6.857999781,1633.522727,68.07224402,2,1,1,78,,0.119949278,0.002403491,0.010765022,0.213910665,0,0,0.164927247,0.133117791,0.378837912,-0.245720121,Stasis,-0.226856964
DRTO,DRTO,DRTO,Forereef,2016,2156,24.71759,-82.80542,13.41119957,355.1136364,18.49878472,1,5,1,83,,0.052666,0.012,0.010749388,0.132,0,0.009095756,0.214969724,0.075415388,0.356065479,-0.280650091,Stasis,-0.259105471
DRTO,DRTO,DRTO,Forereef,2016,2103,24.63315,-82.96631,21.03119933,646.3068182,22.01460293,2,1,0,80,,0.130650209,0.002756482,0,0.237057417,0,0,0.23285139,0.133406691,0.469908807,-0.336502116,Stasis,-0.310669913
DRTO,DRTO,DRTO,Forereef,2016,2150,24.68187042,-82.77555275,10.36319967,752.8409091,48.79943683,4,2,3,50,,0.308242304,0.006323868,0.042486069,0.316193396,0,0.003031919,0.497476103,0.357052241,0.816701418,-0.459649177,Stasis,-0.424363363
DRTO,DRTO,DRTO,Forereef,2016,2207,24.63338,-82.93345,7.619999756,1697.443182,66.79800167,1,4,0,91,,0.058750757,0.009731329,0,0.216522061,0,0,0.381302395,0.068482085,0.597824456,-0.529342371,Erosion,-0.488706431
DRTO,DRTO,DRTO,Forereef,2016,2138,24.63125,-82.85759,10.05839968,1960.227273,66.47682739,6,0,0,59,,0.318338088,0,0,0.241723732,0,0,0.6597012,0.318338088,0.901424931,-0.583086843,Erosion,-0.53832511
DRTO,DRTO,DRTO,Forereef,2016,2178,24.62725,-82.82698,5.94359981,774.1477273,60.05745128,2,8,1,78,,0.113887893,0.019222618,0.010762051,0.16579508,0,0.072766046,0.50922508,0.143872562,0.747786206,-0.603913644,Erosion,-0.557553103
DRTO,DRTO,DRTO,Forereef,2016,2237,24.546,-82.95488,19.20239939,928.0681818,35.89413206,1,0,1,80,,0.023160599,0,0.010749388,0.2064,0.000605,0,0.462765199,0.033909987,0.669770199,-0.635860212,Erosion,-0.587047234
DRTO,DRTO,DRTO,Forereef,2016,2212,24.57709,-82.90421,11.58239963,1157.670455,37.15227347,0,1,0,78,,0,0.002400857,0,0.187266849,0,0,0.460629778,0.002400857,0.647896627,-0.64549577,Erosion,-0.595943101
DRTO,DRTO,DRTO,Forereef,2016,2238,24.54199,-82.94307,21.48839932,1029.857955,67.29018073,7,0,0,76,,0.570636845,0,0,0.24,0,0,0.978325781,0.570636845,1.218325781,-0.647688936,Erosion,-0.597967905
DRTO,DRTO,DRTO,Forereef,2016,2226,24.71857,-82.85067,12.19199961,731.5340909,98.78436076,7,1,1,76,,0.409667236,0.002406968,0.010780595,0.204592239,0,0,1.212498395,0.422854798,1.417090634,-0.994235836,Erosion,-0.917911495
DRTO,DRTO,DRTO,Forereef,2016,2161,24.62953,-82.94263,7.772399752,1455.965909,70.81235111,0,3,0,88,,0,0.007205655,0,0.194552691,0,0,0.808400616,0.007205655,1.002953307,-0.995747652,Erosion,-0.919307254
DRTO,DRTO,DRTO,Forereef,2016,2091,24.63534,-82.84103,9.753599689,546.9034091,97.48740334,4,5,2,68,,0.219301045,0.012011785,0.021519889,0.158555559,0,0,1.426256203,0.252832719,1.584811761,-1.331979043,Erosion,-1.229727224
DRTO,DRTO,DRTO,Forereef,2016,2081,24.69691,-82.85974,7.010399776,1370.738636,130.2373217,1,0,1,83,,0.066306447,0,0.011032934,0.229087551,0,0,1.586330453,0.077339381,1.815418004,-1.738078623,Erosion,-1.604651824
DRTO,DRTO,DRTO,Forereef,2016,2260,24.61995,-82.96973,18.59279941,994.8863636,156.548187,8,0,7,63,,0.405329086,0,0.077832175,0.220942181,0,0.003031919,2.538444655,0.483161261,2.762418754,-2.279257493,Erosion,-2.104286103
DRTO,DRTO,DRTO,Forereef,2016,2069,24.7025184,-82.77184887,21.48839932,1562.5,281.5871935,4,1,1,68,,0.237684998,0.0024,0.010749388,0.2376,0.000605,0,3.910207063,0.250834386,4.148412063,-3.897577678,Erosion,-3.598372966
DRTO,DRTO,DRTO,Lagoon,2016,2254,24.64221,-82.85604,10.36319967,1486.306818,43.7574549,18,0,4,39,,1.173792337,0,0.045782157,0.227433152,0,0,0.234264885,1.219574494,0.461698037,0.757876458,Growth,0.699696679
DRTO,DRTO,DRTO,Lagoon,2016,2236,24.65709,-82.86862,7.315199766,738.6363636,37.53867521,13,1,1,50,,0.978734905,0.002524661,0.011307733,0.214596167,0,0.018191512,0.411164313,0.992567298,0.643951992,0.348615306,Stasis,0.321853211
DRTO,DRTO,DRTO,Lagoon,2016,2257,24.66716,-82.87287,6.2483998,1633.522727,125.8528537,6,1,1,59,,0.711502196,0.002405743,0.010775112,0.240574346,0,0.015159593,0.338857617,0.724683052,0.594591556,0.130091497,Stasis,0.120104784
DRTO,DRTO,DRTO,Lagoon,2016,2193,24.64112,-82.81892,5.94359981,838.0681818,23.9743356,3.03030303,0,1.01010101,63.63636363,,0.181959,0,0.010904321,0.228851624,0,0.015159593,0.200498308,0.192863321,0.444509524,-0.251646203,Stasis,-0.23232812
DRTO,DRTO,DRTO,Lagoon,2016,2126,24.61373,-82.92942,13.25879958,1536.931818,122.3103855,13,3,0,74,,0.892824794,0.007963304,0,0.238899113,0,0.003031919,0.913438655,0.900788097,1.155369686,-0.254581588,Stasis,-0.235038165
DRTO,DRTO,DRTO,Lagoon,2016,2249,24.68833,-82.84195,8.839199717,935.1704545,35.25592953,3,0,0,94,,0.193847504,0,0,0.224329075,0,0,0.237865092,0.193847504,0.462194168,-0.268346663,Stasis,-0.247746538
DRTO,DRTO,DRTO,Lagoon,2016,2106,24.66313,-82.85821,8.534399727,858.7215909,19.45983048,2,10,0,73,,0.103901677,0.024073944,0,0.240739441,0,0,0.206351736,0.127975621,0.447091176,-0.319115556,Stasis,-0.294618064
DRTO,DRTO,DRTO,Lagoon,2016,2205,24.62035,-82.92306,7.162799771,2337.755682,69.16023724,8,0,2,68,,0.748298712,0,0.02198032,0.245375679,0,0,0.879284414,0.770279032,1.124660093,-0.354381061,Stasis,-0.327176348
DRTO,DRTO,DRTO,Lagoon,2016,2611,24.66871,-82.81084,4.267199863,845.1704545,33.13763652,2,0,0,92,,0.121534637,0,0,0.242642627,0,0,0.247314752,0.121534637,0.48995738,-0.368422743,Stasis,-0.340140094
DRTO,DRTO,DRTO,Lagoon,2016,2116,24.58163,-82.92727,15.39239951,838.0681818,38.8444066,3,0,0,83,,0.180238227,0,0,0.156030574,0,0,0.43507125,0.180238227,0.591101825,-0.410863598,Stasis,-0.379322899
DRTO,DRTO,DRTO,Lagoon,2016,2608,24.65349,-82.8324,5.486399825,1640.625,47.6690146,2,1,0,80,,0.082102852,0.0024,0,0.24,0,0,0.318446063,0.084502852,0.558446063,-0.473943211,Stasis,-0.43756009
DRTO,DRTO,DRTO,Lagoon,2016,2598,24.60734,-82.90277,7.619999756,3296.022727,83.37261785,2,0,0,93,,0.117020827,0,0,0.24,0,0,0.410213277,0.117020827,0.650213277,-0.53319245,Erosion,-0.492260952
DRTO,DRTO,DRTO,Lagoon,2016,2206,24.62184,-82.90118,4.724399849,2329.545455,72.82340259,1,0,0,71,,0.059268759,0,0,0.228248254,0,0.02122343,0.549057453,0.059268759,0.798529137,-0.739260378,Erosion,-0.682509697
DRTO,DRTO,DRTO,Lagoon,2016,2610,24.66101,-82.80141,3.047999903,724.4318182,80.0801414,1,4,0,66,,0.058105336,0.009624423,0,0.204518982,0,0.012127674,0.796891767,0.067729758,1.013538424,-0.945808665,Erosion,-0.873201925
DRTO,DRTO,DRTO,Lagoon,2016,2570,24.61438,-82.90212,6.095999805,2095.170455,111.2421613,5,0,0,84,,0.302843403,0,0,0.222095109,0,0.009095756,1.324426312,0.302843403,1.555617177,-1.252773774,Erosion,-1.156602293
DRTO,DRTO,DRTO,Bank,2018,2109,24.7132,-83.04003,26.51759915,1150.568182,16.54067221,27,8,1,54,,1.93368633,0.019365612,0.010842108,0.242070154,0,0,0.138806589,1.96389405,0.380876743,1.583017307,Growth,1.461494075
DRTO,DRTO,DRTO,Bank,2018,2639,24.66274,-82.99051,25.90799917,525.5681818,12.91030999,24,0,0,68,,1.70827575,0,0,0.228,0,0,0.071042399,1.70827575,0.299042399,1.409233351,Growth,1.301050963
DRTO,DRTO,DRTO,Bank,2018,2574,24.70117,-83.03439,23.46959925,1321.022727,50.9134199,32,10,0,48,,1.879066228,0.02412773,0,0.24,0,0,0.319997336,1.903193958,0.559997336,1.343196622,Growth,1.240083665
DRTO,DRTO,DRTO,Bank,2018,2072,24.67825,-83.01815,16.91639946,2173.295455,72.15112858,16,1,0,50,,0.974931295,0.002433829,0,0.243382929,0,0,0.252674672,0.977365124,0.496057601,0.481307523,Stasis,0.444359067
DRTO,DRTO,DRTO,Bank,2018,2068,24.69101,-83.06484,24.23159923,1193.181818,43.75298497,16,14,0,50,,1.235602051,0.033939506,0,0.242425045,0.002444453,0,0.58111263,1.269541557,0.825982127,0.44355943,Stasis,0.409508775
DRTO,DRTO,DRTO,Bank,2018,2075,24.67758,-83.0847,21.64079931,1775.568182,59.64030857,13,8,0,61,,1.155772142,0.019438692,0,0.242983647,0,0,0.495247908,1.175210834,0.738231555,0.436979278,Stasis,0.403433761
DRTO,DRTO,DRTO,Bank,2018,2142,24.65213,-83.01417,21.18359933,1008.522727,38.84839179,9,1,3,75,,0.653050499,0.002507893,0.033697887,0.245773465,0,0.003031919,0.023964843,0.689256279,0.272770226,0.416486053,Stasis,0.384513736
DRTO,DRTO,DRTO,Bank,2018,2066,24.71351,-83.02954,28.95599907,1008.522727,55.41021674,14,2,0,69,,1.066013165,0.004816256,0,0.226364048,0.001821147,0,0.45236286,1.070829421,0.680548054,0.390281367,Stasis,0.360320701
DRTO,DRTO,DRTO,Bank,2018,2565,24.68981,-83.06761,26.21279916,866.4772727,15.35426934,5,9,0,65,,0.713420169,0.021690035,0,0.24,0.001215044,0,0.106976701,0.735110203,0.348191744,0.386918459,Stasis,0.357215953
DRTO,DRTO,DRTO,Bank,2018,2139,24.67971,-83.01236,17.83079943,1704.545455,322.5328288,24,0,1,61,,1.442224656,0,0.010761533,0.237868455,0.000605684,0,0.832919103,1.452986189,1.071393241,0.381592948,Stasis,0.352299264
